======================================================================
IPTV 酒店源流量测试报告 (2026-03-28 07:21:32)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
121.24.229.189:9901       | 北京卫视                 | 7.77   Mbps | 0%
123.129.70.178:9901       | CCTV5+体育赛事           | 0.86   Mbps | 100%
123.129.70.178:9901       | 齐鲁卫视                 | 0.71   Mbps | 100%
123.129.70.178:9901       | 湖南卫视                 | 0.58   Mbps | 100%
123.13.245.252:9901       | 深圳卫视                 | 7.6    Mbps | 0%
123.13.245.252:9901       | CCTV3-综艺             | 7.63   Mbps | 0%
123.13.245.252:9901       | 河南都市                 | 7.76   Mbps | 0%
123.149.43.194:9901       | CCTV13-新闻            | 2.39   Mbps | 0%
123.149.43.194:9901       | 都市频道                 | 2.61   Mbps | 0%
123.149.43.194:9901       | CCTV12-社会与法          | 1.92   Mbps | 100%
123.159.126.13:9901       | CCTV14-少儿            | 0.81   Mbps | 100%
123.159.126.13:9901       | CCTV12-社会与法          | 0.7    Mbps | 100%
123.159.126.13:9901       | CCTV15-音乐            | 0.18   Mbps | 100%
123.160.235.104:9901      | CCTV5-体育             | 0.3    Mbps | 100%
123.160.235.104:9901      | 河南卫视                 | 1.03   Mbps | 100%
123.160.235.104:9901      | 新疆卫视                 | 0.6    Mbps | 100%
124.116.183.146:9901      | 山东卫视                 | 0.53   Mbps | 100%
124.116.183.146:9901      | 卡酷动画                 | 0.42   Mbps | 100%
124.116.183.146:9901      | CCTV9-纪录             | 0.52   Mbps | 100%
124.228.160.14:9901       | CCTV1-综合             | 0.17   Mbps | 100%
124.228.160.14:9901       | CCTV13-新闻            | 0.33   Mbps | 100%
124.228.160.14:9901       | CCTV7-军农             | 0.3    Mbps | 100%
125.42.148.186:9901       | CCTV8-电视剧            | 1.28   Mbps | 100%
125.42.148.186:9901       | 东南卫视                 | 1.21   Mbps | 100%
125.42.148.186:9901       | CCTV-15              | 0.94   Mbps | 100%
125.42.150.102:9901       | 东南卫视                 | 1.18   Mbps | 100%
125.42.150.102:9901       | CCTV3-综艺             | 1.37   Mbps | 100%
125.42.150.102:9901       | CCTV-9高清             | 1.46   Mbps | 100%
144.52.161.141:9901       | 东方卫视高清               | 0.29   Mbps | 100%
144.52.161.141:9901       | 新疆卫视                 | 0.19   Mbps | 100%
